"RegionName","StateName","RegionType","CBSA Title","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06"
"United States",,"Country",,1,139,141.5,141.5,134.25,121.25,112,108.75,108.75,111.5,115.25,118.75,123,127.75,130.25,128.75,123.75,117,112.5,112.25,114.75,118.75,122.25,124.25,126.25,128.25,129,126,117,107.5,103.75,104.25,106.5,109.25,111.25,113.75,118.25,122.75,123,115.75,104,95.25,91.75,91,91.75,93.75,96.75,100.5,105.75,112.25,115.25,109.75,98.25,89.25,86,86.75,90,94,98,102,107.5,113.75,114.75,105.75,92,84,82.75,84.5,87.75,91,94.75,99.25,104.75,111.25,113,104.25,90.5,82.25,80.5,81.5,84.25,87.75,91,94.25,99,104.75,105.25,95.75,83,75.75,73.5,73.75,75.75,78.5,81.25,83.5,87.5,92.5,90.25,79.75,70.5,66.75,66
"Abilene, TX","TX","Metro","Abilene, TX",222,144,141.625,127,106.625,93,87.625,91.75,99.5,111.875,127.5,126.875,124.875,137.125,136,121.875,116,114.5,108.5,95.75,89,100.25,117.5,121.875,123,128,128,114.875,96.25,94.75,97,95.5,96.875,102,114.375,118.375,123.75,143.375,156,140.375,108,89.875,85.25,81.375,77.875,83.125,88.625,84.625,82.75,91.375,100.5,91.25,74.75,68.125,70,75.875,75.75,71.625,76.5,84.125,87.75,92.125,90.625,79.875,74.375,75.5,72.625,71.25,73.875,74,73.25,79.375,89,93.375,89.875,79,73.375,75.75,77,75.25,71.5,71.625,76.5,83.625,93.75,102.25,101.875,93.5,83,73.875,70,69.75,71.625,76.625,77.5,76.25,79.25,84,85.25,79.25,70.75,64.75,63
"Adrian, MI","MI","Metro","Adrian, MI",254,230,254,216,145.5,111.5,107.875,103.75,101,106.875,117,128.125,127.375,115.75,126,140.25,131.25,114.125,103.25,107.5,112.125,110.375,119.5,131,135.375,135,124.375,114.5,117.5,113.25,95.875,94.5,109.75,116.625,118.25,123.875,127.5,127.5,131.375,133,119.5,105.125,103.625,110.125,114.5,112.875,117,127.75,138.625,142.125,134.125,136.25,142.375,127.25,103.375,91.75,101.5,118.5,123,126.125,134.25,134.375,141.125,167,183.5,138.5,91.6666666666667,98.5,102.875,100,113.875,124.75,120.25,130.5,144.5,144.75,127.125,96.25,81.875,84.75,92.125,105,110.625,106.75,101.75,101.875,108.75,104.75,90,82.625,80.625,80.25,85.625,91.5,94.5,99.75,107.125,112.25,105.125,90,80,74.6666666666667,58
"Akron, OH","OH","Metro","Akron, OH",73,152.5,165.125,167.125,149.5,126.125,108.125,100.75,108.875,124.375,133.625,132.125,129.125,129.75,130.625,128.25,127.25,128.25,122.375,114.75,114,122,131.75,137.25,135.75,128.25,127,131.75,130,116,105.75,110.25,117.375,119.375,118.5,121.375,129.625,141.5,150.5,144.75,126.75,111,104.75,101.75,99.25,99.375,101.75,108.875,118.5,128.5,131,123,111.25,95,83.75,83.5,88.25,92.75,96.5,103.5,114.875,122.5,118.375,110.875,103.25,93,85,82.375,86,90.75,92.25,96.5,105,115,121.125,114.625,98.375,85.375,81,79.5,81.25,86.375,89,93.375,103,110.5,108.75,96.75,82.75,73.5,67.75,65.75,67.5,70,71.5,74,79,86.5,91.875,85.25,71.5,64,62
"Albany, OR","OR","Metro","Albany, OR",251,136,141.75,142,129.5,109.125,105.5,121.375,128,124.5,124,124.75,128.75,146,167,163.875,132.25,99.625,88.3333333333333,117.5,139.666666666667,127.5,127.25,140,129.5,114.75,116.5,119.875,119.5,108.375,99.125,97.25,95.375,104.25,116,127.125,138.5,140,145.5,156.875,151.5,131.25,115.25,107.5,104.625,102.666666666667,98.75,98,119.75,145,152,151.25,126.125,95,82.5,86.875,94.25,94.375,98,113.625,120.75,117.375,116.5,117.625,115.25,99.125,81,78.25,85.25,90,96,106.5,109,99.25,89,84.5,80.5,76.875,75,76.375,80.75,87.25,95.5,100.75,101.375,101.25,99.875,89.5,76.875,72.625,69.625,66.125,67.25,70.75,72.25,70.75,69.25,70.5,72.25,67.5,57.5,52.5,56
"Albany, NY","NY","Metro","Albany-Schenectady-Troy, NY",60,156,156.625,160.625,154.625,134.5,118.75,117,118.875,125,132.75,138,147.125,152.125,150.5,155.375,159.25,144.5,121.5,111.125,116.25,128.125,143,157.25,162.875,169.5,182.125,181.75,172.375,160.5,142.125,131.5,131.25,136,142,147.625,159.25,171.25,175.25,176.625,174.75,157.75,131.5,117.75,118.5,124.25,132.75,142.75,151.75,158.125,162,165.75,166.75,149.875,124.25,113.5,114.25,120.25,129,137,143.5,154.75,171,175.75,163.625,137.5,113.625,106.5,107.25,111.125,120,132.375,140.875,145.75,153.5,157.75,145.375,122.25,108,103.25,105.25,112,116,120,124.5,129,133.5,133.75,127.75,112.5,95,87,88,93,99,104.75,110.5,117.875,124,118.375,101.25,87.875,83.5
"Albuquerque, NM","NM","Metro","Albuquerque, NM",59,118.5,128.625,131.125,121.875,113.125,106.625,103.75,108.125,110.125,112.375,120.375,125.25,124.5,126.5,131.5,133,130,125.625,121,114.125,116,125.625,128.25,129.625,135.25,140.25,133.75,114,97,88.75,90,97.625,103.5,107.375,110.75,113.75,116.75,120.75,119,106.75,95.5,94.375,93.5,91.625,97.75,107.25,111.125,115,125.375,130,121.875,106.875,94.375,93.625,99.75,101.625,103.625,110.125,116.25,124,132.5,133.25,124.25,108.125,91.875,85.875,90.125,95.375,97.375,101.125,108.75,114,117.25,118.25,109,93.875,83.625,80.5,80.625,81.625,85.5,87.75,88.25,96.5,109,111.375,99.25,83.875,74.75,72,73.5,76.5,79.5,84,89.375,93,95.375,95,86.5,72.75,65,65
"Allentown, PA","PA","Metro","Allentown-Bethlehem-Easton, PA-NJ",67,166,153.75,148.875,146.25,128.625,112.25,107.25,106.5,114.125,128.25,136.625,142,152.25,151.25,145.375,154,154.375,136.5,126.375,129.875,136,141.875,151.875,162.75,161,159.75,166,156.25,136.375,124.5,118,119.5,128.125,130.25,130.75,139,148,155.25,153.25,134.25,114.5,108.75,110.625,111.125,111.875,115.625,118.25,124.375,130,130.625,138.5,140.75,124.25,105.75,101.25,109.5,118.125,120.75,125.125,138.125,148.5,146.875,142.5,137.5,124.5,109.75,103.75,103.5,106.25,113.25,120.5,127.875,135.75,140.125,141.5,131,108.5,96.375,96,98.125,103.5,106.25,109.25,117.25,120.625,120,116.625,106.5,93.5,84.25,83.5,87.5,90.625,91.625,90.75,93.375,101.375,106.25,100.75,87.5,76.75,73
"Amarillo, TX","TX","Metro","Amarillo, TX",179,153.5,153.375,156,142.75,115.75,102.25,100.5,98.5,102,106.25,104.375,112,120.125,114.375,112,114.5,114.75,113.125,106.875,99.375,97.375,101.5,109.25,124,137,135.625,128,117.125,109.25,111.125,109.75,102.25,99.75,102.5,106.5,111,123,137.625,131.5,109.625,95.75,91.5,91.5,99,101.5,96,95.25,101,114.25,127.25,122.5,100.25,84,82.25,87.5,92.625,90.25,84.125,83.125,93.75,109.375,118.25,110.25,92.25,82.25,79.25,80.25,79.125,77.125,80.875,88,100,111.875,112.125,99.875,86.25,80.375,78.625,79.75,84.75,90.25,93.75,97.5,102,104.25,101.75,94,89.5,88.25,82.75,73.125,73,84.25,89.375,90.375,98.875,109.25,111,99.5,82.75,75,73
"Anchorage, AK","AK","Metro","Anchorage, AK",132,130,146.25,142,112.75,92.5,90,87.25,89.125,95.25,100,107.5,119.375,132.5,138.5,130.75,112.75,99.5,94.25,89.5,89.625,94.25,100.375,112.875,121.375,122.625,126.625,128.25,117.5,95.5,79.75,77.625,81.5,86.125,93.25,105.5,120.25,134.5,133.25,110.5,87.25,76.25,73.5,75.75,79.25,81.5,88,98.375,105.25,106.125,101.25,91.5,79.75,74.375,75.5,75.625,75.5,77.75,85.25,98.625,106.375,104.125,93.125,76.25,67.75,68,70.875,73.75,75.125,78.75,85,91.375,97.5,97.375,91.75,88.5,82.25,77.875,81.5,87.375,94.875,102.25,108.625,116.25,125.25,130,125.5,111.875,92.5,79.625,76.75,78.75,85.25,92.25,97,100.75,108.875,120.375,115,91.625,76,75.25,81
"Ann Arbor, MI","MI","Metro","Ann Arbor, MI",146,158,199.5,191.75,155.5,123.25,111.25,111.625,107,104.875,111.875,124.5,133.125,127.625,121.5,131.125,137,121,107.25,107.75,112.5,122,135,138.5,140.25,146.25,146.875,150.5,137.125,107.75,96.75,99,101.375,101.5,102.875,113.75,132.25,139.25,137.75,128.375,99.5,80,80.5,82.625,82.75,83,85,90.875,100,107.125,108.75,102.875,90,78.125,75.25,77.75,81.5,87.5,92.75,98.75,109.5,127.25,133.75,111.125,86.5,76.625,72.25,72.375,76.5,81.125,85.5,88.25,94.75,109.875,117,103.125,80.75,68.5,67.5,71.5,75.5,78.25,83.875,91.25,103.375,116,109.375,86.625,68.625,61.375,60.25,61.5,65.5,71.25,76,80.25,83,83.375,77.25,63.625,54.5,53,52
"Appleton, WI","WI","Metro","Appleton, WI",188,165,155.375,148.75,140.5,122.25,106.625,109.5,119.75,125,123.75,121.5,117.666666666667,148,178.666666666667,172.375,168.5,156.875,143.875,140,132.75,134.25,145.375,156.25,161.75,159.75,169.5,172,152.25,134.5,129.5,132.375,129.125,128.625,141.875,149.25,149.75,154.5,160.5,167.5,155.25,124.875,106.5,100.125,100.25,102.125,106.25,118.625,125.625,131,146.125,154.25,139.5,110.75,99.75,107,108.5,109,112.5,111.75,110.625,119.75,139.125,136.75,105.375,85.75,85.875,92.25,103.25,108.5,103,102.5,115.75,130.25,139.125,134.25,109.5,86.875,78.875,75.625,75.25,79.25,86.5,90.75,90,97.125,108.625,103.125,83.625,70.875,66.875,66.375,68.375,69.25,67.5,68.625,77.5,85.875,84,74.25,64.75,59.25,57
"Asheville, NC","NC","Metro","Asheville, NC",117,250,236.25,224.5,208.875,187.75,186.25,177.5,160.625,160,162.875,162.25,153.375,148,153.25,157,158.5,144.625,119.75,113.25,123,136.125,146,159.25,178.5,184.25,181,188.125,181.25,146.875,127.25,131,134.25,139.5,150.5,160.625,164.75,169.875,178.5,177,161.25,133.75,112.25,105.5,103,107,112.5,116.5,126.75,143,150.625,147,140.25,122.875,106.375,104.375,108.25,115.875,124,131.75,145.5,155.75,153.625,146.625,125.375,95.25,85,88.75,94.5,104,117.75,128.25,135.75,150.5,161,152.5,127.75,100.75,89,93.5,99.75,102.75,104.875,109,118.625,129.625,136.5,130.125,104.25,80.5,76.75,83.25,89.5,92.75,94.25,95.5,97.375,103.25,105.625,93.25,76.25,69,72
"Athens, GA","GA","Metro","Athens-Clarke County, GA",206,316.5,267.375,244.625,204.625,163.125,141.625,128.875,136.5,141.375,128.75,135.5,157.25,173.75,170.875,154.25,159.75,164.75,151.125,147.75,145.75,133.5,130.25,135.375,146.5,147.75,126.5,110.625,104,93.25,90,93.125,108.75,127,135.5,141.25,143.625,148.25,150,140,135.125,133,132.25,134,131.5,133.75,134.125,144.375,155.125,135.75,126.625,140.875,139.875,123.5,117.25,122.5,128.75,135.25,145,152,149.75,148.5,150.75,135,102.25,92,103.625,106.75,108.625,120,135.625,148.5,151,155.5,161.75,144.5,113.625,97.5,95.125,100.5,108.625,107,102.25,109.25,120.25,129.375,131.5,116.625,100,92.25,85.25,79.875,80.875,82.875,86.625,96.375,103.125,102.375,94.125,81.375,72.75,66.875,59
"Atlanta, GA","GA","Metro","Atlanta-Sandy Springs-Roswell, GA",9,149,147.75,146.5,146,138.25,124.5,114.75,111.5,114,118.25,123.25,129.25,134,136.5,135.5,130,122.25,120,122.5,123,122.25,119,114,112.25,114.25,116.75,111.5,99.25,93,95,97,96.75,96.5,97.5,101,107.25,113.5,111.75,99.75,88,84,84,83.5,83.25,85,88.5,91.25,94.75,100.25,101.75,95.75,85.75,79.5,78.25,79.25,83.25,87,89.25,91.5,95,100.75,98,84.25,74.25,72,73.5,75.75,78,82,87.75,94.25,101,107.25,105.75,91.75,76.25,70,70,72.5,77.75,83.75,87.75,90.75,95,98.5,95,83,71.75,66.5,65,65.75,68.5,73.25,77.25,80.25,84.5,87,81.25,69,60.25,57.75,58
"Atlantic City, NJ","NJ","Metro","Atlantic City-Hammonton, NJ",165,199,219.375,228,204.875,168.75,150.75,155.125,155.125,150.875,154.125,159.5,163.75,170.5,177,178.75,177.5,166.75,155.5,150.25,152.25,164.75,177,178.875,179,193.125,201,197.125,211.5,212.5,178.25,154.375,148.875,155.5,175.875,192.25,197.5,197.25,200.25,205.5,193.625,176.375,173.625,171.125,160.125,153.5,157.625,160.25,162.625,170.375,177.875,179.125,175.75,165.375,147,138.375,144,151.125,153,154.625,164.25,178,189.125,191.875,186.375,177,163.5,154.75,153.25,155,165.25,170.875,163.625,159.75,163.375,165,168.75,170.5,159.75,148.5,142.25,135.375,128,134.75,153.25,162.125,160.75,162.5,166.5,159.25,146.75,142.75,140,135.25,137.25,143,147.5,148.25,140.375,131.125,128.625,123.25,111.5
"Augusta, GA","GA","Metro","Augusta-Richmond County, GA-SC",93,203,175.5,157.25,150.5,153,153.25,145.25,141.75,154.5,164.5,162.125,163.25,171.75,167.25,153.625,149.875,144,136.375,135.75,141.5,160.625,178.25,180.125,175.625,172.875,168.875,166.75,173.375,157.875,125.375,119.75,142.5,158.75,152.75,152,157.25,153.5,150.5,150.375,149,144.875,133.75,120.25,115.25,121.625,129.75,133.125,136.25,143,145.75,146.5,147,134.875,121.5,115,115.625,125.5,130.875,128.375,126.625,128.875,133,132.75,124.875,112.875,101.5,95.125,97.25,101.875,103.875,114.75,134.125,142,133.5,116.25,100,93,92.5,93.625,96.125,106.375,120.375,125,124.5,127.75,128,120.5,109.75,99.5,91.5,85.25,85.875,89.5,91.625,97.75,103.5,104.75,103.5,98.875,90.25,81,69.5
"Austin, TX","TX","Metro","Austin-Round Rock, TX",35,123,121.75,112.125,98.5,93.625,96.5,100.25,103.75,109,115.25,120.25,125.25,130.25,132.25,126.25,112.75,101,98,100.25,103.75,109.75,115,116.375,116,115.625,115.75,107.75,89.25,77,75.25,76.75,80.25,86.25,94.625,99.5,98.5,100.25,100,86,69.875,65.25,66.25,65.5,64.5,66.25,70.5,75,82.375,90.25,85.125,69.75,60.25,60.5,65.25,68.75,69.75,73,78.75,80.75,80.25,79.75,72.75,61.5,55.5,54.75,55.25,56.5,58.75,62.25,67.25,72,77.5,83.5,79.75,65.75,56.75,56.5,58,59,61.5,66,69,70.75,74.25,77,72.5,61.25,54,52.75,53.25,56,60.25,65.75,72,76.25,78.5,79.5,73.5,60.75,52.5,51.5,53
"Bakersfield, CA","CA","Metro","Bakersfield, CA",63,115,115.625,111.75,108.25,104.25,99.125,94.625,90.25,92.375,97,95.5,99.25,108,107,100.25,97,96.5,96.75,96.75,93.5,92,96.25,98,97.75,96.75,92.25,86.25,83.75,87,88.125,87,89.375,94.75,99,98.75,98.375,99.25,97.625,93.25,89.5,89.25,87.625,81.375,76.125,74.125,75.5,80.75,87.25,92,87.75,79.25,76.25,73.75,72.5,75,77.5,79.5,81.25,85.25,92,98,95.25,83,77.75,83.25,87.625,86.25,83.875,85.75,91,95.375,97.25,100.125,103.5,98.25,87.75,84.5,84.5,83.875,83.5,82.375,85,90,94.25,99.125,99.5,91.625,83.75,79.5,75,73.5,76,79,82.25,84.75,89,93.25,86.875,75.375,71.875,72.125,69
"Baltimore, MD","MD","Metro","Baltimore-Columbia-Towson, MD",20,171,184.25,185.75,178.75,162.75,141,130.25,127.75,128.25,133.25,137.25,142.75,151.25,156,155.75,154,144.25,129.5,126.5,132.75,142.625,152.75,154,153.75,155.75,155.5,155.125,143,122.125,113.75,115.625,120.125,126.25,132.625,137,139,143.375,149,146.125,128.5,108.375,99.25,98.625,101.25,104,106.5,109.75,114.75,122.75,131.5,134,121.75,102.5,93,94,100.25,107.875,113.5,118.125,123.75,131,135.75,132.5,119.25,101.25,90.75,92.75,101,107,110.5,114.5,120.25,129,136,131.75,113.25,94.75,88.5,91,96.5,102.25,108.25,112.25,114,119.75,123.25,111.75,93,82.75,81.5,83.75,89,94.5,96,95.5,98.75,105.25,108.25,99.75,83.25,74,73
