ZipCodes,Metro_Wage_Types,Wage_Values,Year
30087,Atlanta Wage Gap,42278.2,2017
01450,Boston Wage Gap,38415.8,2017
60410,Chicago Wage Gap,42367.2,2017
20724,DC WageGap,43376.2,2017
75082,Dallas WageGap,60058,2017
48310,Detroit Wage Gap,28356.8,2017
77064,Houston Wage Gap,24590,2017
92831,LA WageGap,47327,2017
08738,Manhattan WageGap,56783.6,2017
33196,Miami WageGap,16486,2017
08084,Philly WageGap,40188.4,2017
85249,Phoenix WageGap,28960,2017
92210,Riv WageGap,38421.6,2017
94112,SF WageGap,66203,2017
