"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"United States",0,179900,179900,179900,179900,179900,179500,177500,175000,175000,174900,170000,169000,165000,164900,166900,165000,169500,169900,169900,169900,169900,169000,167500,165000,164950,165000,167500,168900,169500,169900,169900,169900,169900,169500,169500,169000,168900,169900,172400,175000,179500,179900,179900,179900,179900,179900,179900,179000,179000,179900,184900,189000,189900,190000,192500,192500,190000,189900,189900,189000,189900,190000,195000,199500,200500,205000,204900,202990,204900,204900,202900,2e+05,2e+05,204900,210000,215000,219500,219955,220000,219900,220000,220000,219900,219000,219000,220000,225000,229900,235000,237900,237500,235000,237400,237900,237900,235000,238900,240000,245000,249900,250000,252659.5,252500,250000,254500,254900,254900
"New York, NY",1,374000,369900,375000,370000,375000,374888,370000,369000,369500,369000,365000,359000,355000,349990,354900,350000,349900,349900,349900,349000,349000,349000,349000,349000,349000,349000,349000,349990,349999,349900,349300,349000,349000,349000,345000,344900,345000,349000,350000,349900,355000,349900,349500,349000,349000,349000,350000,349900,350000,355000,359000,360000,365000,369000,365000,365999,369000,369000,369000,373200,379000,379000,379000,375000,379000,379000,379000,374900,369990,375000,369900,365000,379999,385000,379000,395000,389000,390000,395000,395000,399000,399000,399900,399999,419000,419957,414900,4e+05,399900,399900,399000,390000,399000,399000,399999,399990,4e+05,415000,415000,419900,420000,425000,420000,419000,425000,429000,429000
"Los Angeles-Long Beach-Anaheim, CA",2,4e+05,400900,410000,410000,414900,410000,409000,410000,399900,398999.5,391750,379500,375000,374999.5,375000,375000,375000,379000,375000,375000,369542.5,365000,359000,350000,350000,350000,355000,360000,369000,375000,379900,385000,385000,384000,389000,390000,399000,409900,435000,450000,475000,489000,499000,499000,499900,499000,495000,482950,479900,485000,495000,504500,520000,525000,529000,529000,525000,520000,525000,509900,499992.5,519000,529000,540000,559000,566850,569000,569900,569977.5,574475,569000,569000,569000,579000,589000,599000,599900,610000,6e+05,599900,599888,599000,599000,598000,599000,599900,619000,629999,639000,635000,634900,630000,628779.5,628000,627000,624900,628000,640000,649000,653245,665000,670000,669000,665000,665000,665000,660000
"Chicago, IL",3,215000,219000,219900,219899.5,219000,217900,210000,209000,199900,199900,197900,189000,182990,179900,180000,179900,180000,180000,179900,179900,179500,175000,169900,168500,167500,165994.5,168786.5,169000,168000,168500,165000,165000,164900,162500,162000,159900,159900,160000,164999,169900,174900,175000,174900,174990,175000,172000,169896.5,165900,164900,169900,179000,184900,189900,194325,194900,190000,189000,184900,179900,178950,175000,179900,189900,195000,2e+05,209000,204900,2e+05,199900,199900,198900,192900,194500,199800,209900,215000,219900,224900,220000,219000,219000,218000,214900,209900,209900,219000,225000,229900,230000,235000,234999,234900,234900,232500,229900,226200,229000,237000,247440,254000,254900,257900,256989,254994.5,254900,250000,249900
"Dallas-Fort Worth, TX",4,135000,136900,139500,139900,139950,139900,139900,139900,139900,139900,139900,137000,135000,135000,135000,135000,137500,139000,139000,138900,137000,137900,136990,135990,135000,138000,136000,139000,139990,143900,141500,142500,139900,140000,143000,144900,144900,148056,151190,155000,159000,159000,159000,159222,159000,159220,159000,159000,159900,163000,165000,169000,170000,168000,169500,174900,174900,175000,177900,179000,184900,185000,190990,190000,189900,189900,189900,189900,192900,193997.5,195000,197990,199900,197900,200900,209900,213000,218861.5,218900,219900,219900,225000,224950,225000,229900,234900,237990,240000,244900,245000,245000,245000,245000,249070,249900,250000,253990,259900,259900,263000,264900,264900,261849.5,259900,259900,259900,259990
"Philadelphia, PA",5,205000,209900,214900,214000,214900,212000,209900,205000,205000,2e+05,199900,194900,190000,194000,197000,199000,199900,199900,198000,195000,189900,186900,184900,179900,179900,183694.5,185900,189625,186900,188300,185000,180000,179900,178900,175000,173000,169900,175000,180000,185000,190000,195000,189900,182800,184900,183000,180000,180000,175000,179000,189000,194999.5,199500,199900,194900,190000,190000,189900,189900,185000,184000,189900,199000,205000,210000,209500,199900,199900,199999,199900,199000,189900,189000,189999,199900,209900,210000,214900,210000,209900,209900,210000,204945,196695,199900,2e+05,214900,219149,224900,224000,221999.5,219900,222000,225000,224900,219900,219900,221300,225000,230000,239900,239999,240000,239900,237500,237500,234900
"Houston, TX",6,129900,133125,134545,134900,134900,134900,132900,132892.5,135000,134775,135000,133999.5,132000,131925,132100,130000,132000,134900,133990,134389,129995,133470,129990,130000,132000,130990,132477.5,134100,135499.5,136900,136995,139000,138900,138000,139900,140120,140000,149000,149950,154000,155301,157495,158000,159900,161415.5,165000,161900,161990,165000,171990,175000,180000,182000,181495,182800,185000,186950,189994.5,196950,206950,216000,219950,223000,234107.5,219990,212997.5,225000,229900,234990,237990,239500,245000,249900,235000,239500,239000,235000,236945,234769,230995,229900,229990,229900,230000,231990,234990,234900,237900,238990,236393.5,233900,234900,239000,238990,239000,239500,240000,242000,245000,244900,244990,244500,242000,242414,242000,241416,242045
"Washington, DC",7,269000,270000,275000,287500,289900,282700,279900,275000,274900,275900,274900,264900,254900,259900,269900,274900,280000,285000,287800,284900,285000,285000,279500,275000,275000,279990,285000,294900,299900,309900,305000,305000,305000,304990,306850,299999,300900,314990,324990,329999,339000,339990,335000,335000,339900,339000,334970,327900,325000,332000,341392,349542.5,350000,349997,349990,349500,349900,349900,349900,348500,344500,345000,349900,353971,358500,359900,345000,350000,354200,355000,354990,352410,352000,352000,360000,369990,374900,375000,370000,369000,369900,370000,369000,369800,365000,374900,383125,389776,389900,389990,390000,389000,389500,389800,387900,385000,390000,395000,399900,399990,399900,399990,399900,399000,399900,399900,399990
"Miami-Fort Lauderdale, FL",8,250000,250000,249000,245000,244000,236000,229900,225000,220000,220000,225000,219900,219000,222638.5,219900,209000,214900,210000,215000,219900,219999.5,224000,224900,225000,225000,229000,235000,230000,230000,229900,235000,235000,237000,209900,215000,220000,225000,234900,235000,239900,244650,244900,244900,234900,235000,239900,249500,249000,250000,259000,258000,259900,260000,265000,259250,259900,260000,262850,275000,275000,279000,279900,289900,289000,274900,275000,294000,294900,299000,299900,309500,315000,319000,319000,319900,325000,328550,327900,329000,329900,335000,335000,340000,345000,345000,349000,349000,349900,350000,359000,358750,355000,360000,359900,365000,369000,369500,369000,369000,370000,370000,369900,369000,369000,369000,369900,375000
"Atlanta, GA",9,139900,139900,139900,139900,139900,135900,135000,134900,130000,129800,125000,120000,119000,116287.5,114900,110000,111900,111500,110000,109900,109900,107000,1e+05,99900,99900,99900,1e+05,1e+05,104900,110000,110000,114900,115000,119900,119900,120000,124000,125900,129900,135000,139900,140000,142900,144900,145000,144900,142900,139900,139900,142900,149000,150000,154900,159412.5,159800,158000,155000,150741.5,149900,149900,149717,149900,154900,158900,159990,162900,159900,160000,160000,159900,157900,158900,159899,159900,164900,169000,171113.5,174000,175000,175000,175000,177000,175000,174900,174900,178900,185000,190000,195000,196000,199000,199000,199900,2e+05,201995,2e+05,204000,205000,212900,220000,224900,225000,224900,220701,224500,220503.5,220999
