"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"United States",0,,,1495,1500,1495,1549,1445,1400,1395,1390,1350,1400,1350,1350,1400,1450,1426,1450,1400,1450,1400,1350,1350,1350,1350,1395,1449,1450,1495,1450,1400,1400,1395,1395,1395,1379,1359,1399,1444,1450,1450,1400,1475,1450,1450,1500,1495,1500,1495,1450,1450,1500,1599,1600,1500,1500,1495,1450,1450,1440,1450,1450,1500,1500,1550,1550,1550,1550,1500,1500,1500,1500,1500,1550,1600,1645,1650,1650,1650,1615,1600,1600,1610,1500,1550,1550,1595,1650,1650,1652,1675,1650,1600,1599,1595,1595,1600,1620,1675,1725,1750,1750,1750,1740,1699,1650
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2750,2700,2699,2700,2750,2750,2800,2800,2800,2850,2895,2850,2800,2800,2800,2800,2800,2850,2950,2995,2995,2950,2995,3000,3050,2995,2750,2750,2600,2650,2775,2800,2842.5,2840,2800,2834,2700,2695,2670,2600,2600,2650,2750,2800,2836.5,2850,2800,2750,2700
"Los Angeles-Long Beach-Anaheim, CA",2,,,2500,2582.5,2550,2562.5,2600,2600,2550,2500,2500,2500,2500,2495,2500,2500,2500,2500,2500,2495,2435,2400,2400,2400,2400,2419.5,2400,2395,2450,2450,2400,2400,2400,2350,2300,2295,2295,2300,2300,2329.5,2377,2395,2400,2375,2450,2450,2400,2500,2425,2400,2400,2450,2500,2600,2650,2650,2650,2650,2681,2670,2700,2690,2700,2795,2800,2800,2850,2850,2815,2800,2800,2850,2890,2900,2900,2890.5,2899,2900,2900,2850,2900,2800,2900,2800,2900,2995,3013,3100,3100,3150,3100,3100,3100,3100,3100,3095,3069,3100,3100,3150,3200,3200,3195,3195,3187.5,3200
"Chicago, IL",3,,1600,1600,1600,1500,1500,1600,1600,1600,1650,1650,1600,1585,1600,1629,1700,1750,1695,1700,1697,1650,1600,1550,1500,1529.5,1595,1600,1575,1590,1600,1600,1600,1600,1600,1525,1550,1550,1550,1600,1595,1650,1650,1700,1650,1600,1600,1600,1625,1599,1599,1600,1645,1700,1799,1800,1700,1725,1700,1645,1600,1600,1673,1700,1750,1800,1800,1800,1775,1750,1735,1770,1695,1650,1700,1700,1750,1800,1850,1815,1800,1750,1695,1626,1625,1625,1650,1739,1850,1900,1900,1900,1880,1800,1785,1735,1720,1750,1800,1850,1950,1995,2000,1995,1950,1895,1820
"Dallas-Fort Worth, TX",4,,1195,1225,1300,1250,1250,1212.5,1250,1299,1300,1275,1250,1250,1250,1250,1250,1275,1290,1250,1200,1200,1200,1200,1200,1200,1225,1250,1230,1250,1259,1250,1250,1250,1250,1250,1253,1295,1286,1295,1295,1300,1300,1300,1300,1300,1295,1295,1300,1300,1300,1300,1325,1375,1390,1395,1395,1375,1350,1360,1375,1395,1400,1410,1425,1450,1450,1459.5,1475,1450,1425,1425,1445,1450,1450,1495,1495,1500,1500,1500,1500,1500,1495,1495,1495,1500,1542.5,1550,1595,1625,1650,1645,1600,1595,1550,1580,1575,1590,1595,1610.5,1650,1650,1650,1650,1650,1645,1638
"Philadelphia, PA",5,,1400,1425,1500,1500,1450,1400,1400,1400,1400,1400,1400,1344,1356,1400,1450,1450,1450,1450,1450,1410,1400,1400,1400,1400,1450,1500,1500,1497,1500,1475,1400,1395,1395,1400,1375,1400,1400,1445,1495,1500,1500,1495,1450,1400,1400,1399,1399,1350,1350,1350,1400,1500,1500,1500,1500,1450,1410,1450,1425,1450,1500,1500,1550,1550,1550,1550,1500,1500,1500,1495,1445,1450,1500,1522.5,1600,1600,1560,1500,1500,1500,1400,1450,1400,1400,1400,1500,1550,1595,1600,1575,1500,1500,1495,1500,1500,1500,1500,1550,1600,1625,1600,1595,1550,1500,1500
"Houston, TX",6,,,,,,,,,,,,,,1350,1350,1350,1300,1300,1265,1250,1250,1225,1250,1250,1250,1250,1275,1200,1246,1250,1250,1285,1280,1100,1280,1325,1250,1259,1300,1306,1355,1295,1360,1350,1400,1400,1425,1395,1400,1350,1350,1375,1442,1450,1450,1450,1450,1450,1450,1450,1450,1475,1500,1550,1550,1550,1550,1550,1550,1500,1550,1550,1550,1550,1600,1600,1592,1595,1550,1550,1525,1500,1500,1470,1499,1500,1500,1550,1560,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1595,1600,1600,1600,1600,1575,1562.5
"Washington, DC",7,,1610,1675,1700,1750,1800,1850,1850,1700,1700,1750,1725,1750,1750,1790,1800,1895,1900,1900,1896.5,1895,1850,1805,1842,1800,1848,1850,1900,1950,1955,1950,1900,1900,1900,1900,1900,1900,1925,1950,1950,1925,1908,1950,1985,1995,1995,1950,1949,1900,1949,1948,1950,2050,2050,2061,2050,2000,1999,1995,1975,1975,1995,1995,2000,2037,2100,2100,2100,2050,2000,2000,2000,2000,2000,2000,2043,2069.5,2095,2095,2075,2029,2000,2000,2000,2000,2002,2100,2116,2150,2150,2168,2100,2100,2090,2040,2000,2025,2045,2100,2160.5,2200,2250,2225,2200,2200,2196.5
"Miami-Fort Lauderdale, FL",8,,,2500,2500,2400,2400,2150,2000,2200,2172.5,2000,2000,1875,1899,1895,1900,1900,1895,1850,1850,1850,1800,1800,1800,1800,1800,1800,1789,1795,1800,1800,1800,1775,1775,1776,1750,1750,1790,1800,1800,1800,1850,1900,1890,1900,1900,1900,1900,1900,1895,1850,1850,1925,1900,1950,1900,1950,1950,1900,1900,1900,1925,1975,1995,2000,2000,2075,2100,2000,2000,2100,2100,2100,2150,2175,2100,2143,2150,2100,2025,2065,2100,2150,2000,2100,2108,2144,2180,2200,2200,2200,2200,2200,2210,2200,2200,2205,2200,2200,2270,2275,2280,2250,2250,2250,2250
"Atlanta, GA",9,,1000,1075,1100,1100,1100,1100,1100,1100,1050,1000,1099,1000,1000,1000,1050,1050,1050,1000,1000,1000,999,995,995,995,995,1000,995,995,995,995,995,995,995,995,985,975,975,995,999,1000,1000,1000,1000,1000,1000,995,1000,1000,1000,1000,1000,1025,1025,1025,1025,1025,1025,1025,1037,1050,1050,1095,1100,1149,1150,1149,1100,1100,1100,1145,1145,1150,1150,1195,1195,1200,1200,1209,1200,1200,1205,1200,1200,1239,1250,1295,1319,1350,1350,1370,1350,1350,1342,1349.5,1330,1345,1350,1375,1410,1425,1437,1445,1435,1400,1400
"Boston, MA",10,,,1625,1650,1650,1625,1650,1650,1695,1675,1672.5,1699.5,2000,2100,2200,2260,2300,2250,2200,2200,2100,2000,2000,2000,2200,2300,2350,2400,2400,2400,2400,2350,2320,2300,2300,2400,2565,2600,2575,2600,2600,2600,2600,2575,2525,2500,2500,2500,2600,2650,2650,2700,2700,2700,2700,2650,2600,2550,2500,2600,2750,2800,2800,2800,2800,2785,2750,2700,2650,2600,2600,2700,2895,2950,2900,2850,2850,2800,2800,2800,2700,2695,2625,2700,2970,2975,2950,2900,2900,2900,2900,2820,2800,2800,2800,2895,3000,3000,3000,3000,3000,3000,2940,2850,2800,2800
"San Francisco, CA",11,,,2200,1997.5,2200,2200,2200,2100,2000,2000,2100,2172.5,2095,2100,2000,2000,1950,2000,2100,2100,2150,2050,2100,2000,1995,2100,2192.5,1975,1900,2000,1950,1895,1900,1950,1995,1950,1975,1950,1980,1900,1900,1950,2000,2000,2200,2200,2195,2375,2300,2197.5,2200,2300,2500,2525,2695,2750,2750,2710,2750,2950,2800,2819,2900,3000,3181.5,3200,3200,3150,3200,3200,3200,3250,3250,3350,3500,3455,3495,3500,3500,3300,3200,3159.5,3150,3100,3200,3300,3400,3500,3500,3500,3450,3495,3495,3400,3350,3385,3300,3350,3400,3450,3500,3550,3570,3500,3490,3443
