RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
102001,United States,0,256103,285730,303505,321081,331724,306050,290704,290901,212171,242128,190370,193585,251833,260226,272822,326086,339563,310862,304364,312512,293780,295904,210750,206064,305662,310931,322237,363978,281867,272596,285792,248373,236820,262042,215571,206164,282026,272129,290390,322815,289069,320654,281424,263810,257650,267662,228253,235651,291676,294946,339229,350572,334510,350319,284292,323973,296364,300574,267782,252075,308489,350339,386151,386648,411804,407216,348913,358076,307309,312615,264310,251263,311685,350422,382836,412947,419040,389798,371815,384426,306451,351753,265825,264763,359815,383615,393510,474807,470231,432207,417909,397473,316409,375481,292605,305259,389457,405834,453346,517064,453332,490858,437277,407474,385646,401273,328914,308529,435002,408890,501285,545537,476757,521669,437481,446552,403518,399280,336774,314699,411168,437426,499216,521964,498755,514936,398235,442836,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9421,9119,8663,10414,9798,9960,11543,12037,12404,10253,8664,7515,8410,8002,6685,7500,7732,9001,10068,10746,11233,10225,9764,8330,9928,10091,8066,8503,9195,11142,10810,13677,14754,13491,13288,10698,11994,10363,8017,9435,9386,11450,11468,14436,13965,12809,13349,10437,13047,10323,9600,10566,10962,11262,14167,16893,16917,16424,15226,13624,14878,12403,12411,13967,12846,13559,16845,17743,19576,18649,16527,15438,18115,16807,14917,17297,16047,18457,20912,20168,24514,21293,20852,18545,19764,18710,16120,16249,17381,18851,20386,22460,24794,18989,21872,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,5844,6977,7593,7880,8874,8444,8440,9092,6746,8319,6482,6588,8321,8501,8791,10274,10564,9207,9516,9815,8314,9962,6652,7015,9523,9245,10083,10487,8767,8469,8424,7616,7293,8696,6831,6525,9165,8586,8452,9429,8453,9355,8531,7797,7726,8558,6829,7235,9433,9199,10310,10475,10076,11077,8581,10102,9259,10524,7809,7844,10134,10465,11579,10687,11609,11469,9573,10064,8782,9365,7679,7381,9152,10438,10382,10556,10816,10389,9676,10262,8201,9866,7356,7256,10113,11150,11218,12454,12605,11200,11078,10446,8127,10620,7932,7800,10418,10845,11356,12366,11217,12071,11012,10978,10692,11213,9008,8461,11951,10790,12956,14287,11895,13313,11495,10615,10073,9786,7892,7947,11009,10656,11537,11822,10795,11290,,,
394463,"Chicago, IL",3,8678,9832,9756,11217,12011,10963,10546,10097,6903,7627,6436,5618,7479,8172,8103,9983,11045,10025,10314,11043,10140,10663,7757,6602,9114,10167,10616,12653,10947,9517,7950,7529,7239,7804,7317,5832,8062,7502,8645,10586,9016,10673,8821,8102,8020,8499,7754,6655,8289,8459,10088,11515,10396,12683,8774,9175,8173,7854,8952,6691,8036,10319,10692,11674,14781,13945,11645,13696,11256,11174,10724,8350,9599,12333,12653,14381,14508,13214,15187,15255,10439,12401,9375,8438,11041,12755,13124,17700,18790,19625,17923,16561,12382,13577,11426,11244,13317,15148,17021,20917,19216,20710,16827,15381,13997,14317,12692,10032,14697,14757,18420,20307,17683,20402,15438,15459,14220,12206,11439,8994,12498,14787,16602,19694,16818,16121,13191,14258,14493
394514,"Dallas-Fort Worth, TX",4,7111,8022,8004,8479,8930,8035,7240,6803,4749,5818,4361,4787,6347,6362,6221,7278,7862,7104,6578,6641,6582,6496,4301,4614,6898,7453,7766,8119,6101,5928,5336,5056,5065,5419,4342,3988,6235,5986,6835,7075,6293,7324,5783,5313,5152,5778,4319,5096,6053,6188,7964,8034,7953,8180,6055,7104,5962,6550,5545,5375,7335,9172,9336,9200,10147,9859,8014,7932,6291,7063,5470,5928,7455,8688,9607,10155,10321,9336,9133,8823,6787,8265,5757,5906,9028,8800,9722,11517,11217,10589,9675,8844,7232,9310,6502,7436,9930,9957,10461,11848,10692,11612,10110,8611,8464,8967,6737,7044,9818,9454,11296,11567,10908,11481,9762,9542,8598,8761,7432,7559,9584,10187,11712,11707,11735,11384,8697,8588,
394974,"Philadelphia, PA",5,5176,5920,5967,6530,7256,6308,5708,5293,4070,4672,3539,2907,3776,4200,4268,5557,6387,5990,5750,5551,5343,6085,3410,2917,4703,4949,5602,7158,6090,4562,4238,3901,3709,4282,3372,3074,4001,3865,4444,5387,4741,5349,4153,4201,3833,4452,4026,3542,4103,4310,5538,5679,6098,5827,4037,5325,4991,4945,5037,3908,4564,5518,6292,6487,7518,6967,6e3,6176,5043,5446,4411,3558,4005,5011,5759,6967,6940,6898,6052,6181,5406,6294,5080,4404,5588,5792,6495,8569,9583,7807,7679,7548,5679,7121,5470,5172,6195,6748,8263,9979,9028,9409,7398,7705,7178,7175,7145,5483,7655,7373,9524,10497,10001,10584,8599,9081,8820,8622,7682,6110,7128,8359,9576,10694,10794,9908,8323,9736,
394692,"Houston, TX",6,5932,6220,6566,6960,7056,6021,4182,5167,3738,4799,3807,3913,5174,4963,5159,6255,6578,5600,5388,5457,5319,5276,3391,3769,5604,5803,6147,6701,5024,4977,4484,4258,4033,4363,3974,3502,5172,4956,5496,5804,5332,6047,4882,4567,4198,4835,2960,3868,4964,4122,5912,5933,6436,5369,4679,5242,4248,4548,4142,4719,5628,7178,7845,7127,8248,7977,6756,6228,5366,6259,4831,4375,6721,7184,7803,8050,8589,5088,7895,7567,5739,7649,5283,4930,7176,7046,7402,8940,8854,7685,7215,6846,5323,7056,5158,5633,7032,6779,8056,8963,8192,8679,7655,7386,7090,8046,6035,6524,8846,7932,9747,10261,8818,8314,8076,8350,7539,8063,6405,6929,8098,8055,9845,9805,9717,9774,7770,7861,6865
395209,"Washington, DC",7,5243,5878,6295,7437,6694,6297,6535,6755,4987,5595,3582,4178,5827,5849,6063,7950,5887,6176,5640,5301,5119,5163,4058,3432,5395,5310,6040,7278,4826,6847,4882,4781,4340,4634,3940,3734,5482,4980,5577,6688,5341,5720,4817,4375,4368,4670,4153,3908,5008,5001,6676,7226,5957,6685,4304,5405,5689,4752,5042,4231,5342,6321,7500,8644,7276,7511,6163,6359,5304,5567,4378,4229,5478,6185,6575,8326,7718,7117,6419,6728,5446,6553,4763,4766,6413,7212,7711,9845,9053,8070,6952,7227,5780,7787,4907,5981,7459,7659,9551,11100,9221,9488,7779,7686,8014,7845,6627,6495,8442,8356,10206,11495,9007,9470,8168,7932,7490,7313,6410,5876,7599,8151,9937,11173,9593,9622,7070,8073,
394856,"Miami-Fort Lauderdale, FL",8,4662,5362,5338,5556,5592,4898,4908,5284,3874,5254,4843,4763,5941,5946,6173,7273,6984,6519,6716,7369,6185,7251,6588,5607,8317,7903,7423,8762,8519,7233,7146,7189,6439,8679,7795,7211,9555,9666,9183,9507,8639,8990,8306,7135,7533,8395,7316,6853,8904,9287,9679,9170,9096,9155,8188,9262,8284,9805,9086,8503,10084,11289,11253,11392,11783,10826,9997,10900,9102,10614,8968,8357,10959,11766,11483,11329,11879,10746,10446,11479,9862,11930,8801,9081,11641,12312,12029,13135,12983,11234,11305,10798,9556,11650,8179,9103,10929,10745,11526,12395,10744,10811,9868,9565,9491,10760,8500,8714,11829,11085,12642,12822,11219,11883,7249,10609,8834,10098,9299,8451,12622,12313,12207,13027,12169,11829,9744,10512,
394347,"Atlanta, GA",9,6929,7682,7437,7765,8290,7235,7185,7717,5694,6508,5486,4698,7342,6614,6616,7920,8193,8078,7111,7389,7138,7773,5436,5800,7900,7404,7333,8069,6330,6253,7615,7987,7125,6845,6134,5866,7613,6522,8205,8657,8710,11837,13737,12819,12480,11374,12576,13274,14783,14694,15895,17809,16437,16589,14340,14913,13769,12492,13337,12719,14455,15458,16453,16766,16405,16849,14250,14147,12106,11139,12122,10796,13424,13445,15889,15433,15177,15097,13792,13589,11641,11703,10953,10627,12921,15245,10461,12154,11082,10661,14184,12603,7710,12546,11257,12356,15321,15913,17111,19762,13663,13770,12336,11375,10561,11264,7583,7948,11783,10736,13626,13636,11546,12658,10749,10584,10059,11053,7803,9112,11421,12778,13706,14074,12788,14337,10014,11045,
